WKT,name,description
"POINT (-92.4578916 35.0780939)",University of Central Arkansas,
"POINT (-81.2000599 28.6024274)",University of Central Florida,
"POINT (-84.51495039999999 39.13292189999999)",University of Cincinnati,
"POINT (-105.2659871 40.0073499)",University of Colorado Boulder,
"POINT (-72.2539805 41.8077414)",University of Connecticut,
"POINT (-84.17904449999999 39.7401454)",University of Dayton,
"POINT (-75.7506114 39.6779504)",University of Delaware,
"POINT (-104.9618965 39.6766174)",University of Denver,
"POINT (-83.1379388 42.4140847)",University of Detroit Mercy,
"POINT (-87.5321724 37.9734113)",University of Evansville,
"POINT (-82.35348400000001 29.644591)",University of Florida,
"POINT (-83.375192 33.95666559999999)",University of Georgia,
"POINT (-157.8148228 21.299824)",University of Hawaii at Manoa,
"POINT (-95.3422334 29.7199489)",University of Houston,
"POINT (-117.0126084 46.72881239999999)",University of Idaho,
"POINT (-88.2271615 40.1019523)",University of Illinois Urbana-Champaign,
"POINT (-91.5549771 41.66270780000001)",The University of Iowa,
"POINT (-95.2557961 38.95434389999999)",University of Kansas,
"POINT (-84.5039697 38.0306511)",University of Kentucky,
"POINT (-92.019914 30.211991)",University of Louisiana at Lafayette,
"POINT (-92.068744 32.5313471)",University of Louisiana Monroe,
"POINT (-85.75850229999999 38.2122761)",University of Louisville,
"POINT (-68.66882509999999 44.901867)",University of Maine,
"POINT (-76.9425543 38.9869183)",University of Maryland,
"POINT (-76.7106829 39.2553955)",University of Maryland, Baltimore County,
"POINT (-75.6848002 38.2102166)",University of Maryland Eastern Shore,
"POINT (-72.5300515 42.3867598)",University of Massachusetts Amherst,
"POINT (-71.3247164 42.6552587)",University of Massachusetts Lowell,
"POINT (-89.9374928 35.1187498)",University of Memphis,
"POINT (-80.2781262 25.7173947)",University of Miami,
"POINT (-83.7382071 42.277145)",University of Michigan,
"POINT (-93.2277285 44.97399)",University of Minnesota,
"POINT (-89.5383818 34.36473489999999)",University of Mississippi,
"POINT (-92.32773750000001 38.94038079999999)",University of Missouri,
"POINT (-94.58342739999999 39.0343551)",University of Missouri-Kansas City,
"POINT (-113.9845969 46.8619309)",University of Montana,
"POINT (-96.70047629999999 40.82019659999999)",University of Nebraska-Lincoln,
"POINT (-96.010696 41.2580268)",University of Nebraska Omaha,
"POINT (-115.1435252 36.107496)",University of Nevada, Las Vegas,
"POINT (-119.8141582 39.5437205)",University of Nevada, Reno,
"POINT (-70.92890539999999 43.1373391)",University of New Hampshire,
"POINT (-106.6197812 35.0843187)",The University of New Mexico,
"POINT (-90.0680105 30.0273134)",The University of New Orleans,
"POINT (-87.6804676 34.807836)",University of North Alabama,
"POINT (-79.8101976 36.0689296)",University of North Carolina Greensboro,
"POINT (-77.8696036 34.22387399999999)",University of North Carolina Wilmington,
"POINT (-82.5665332 35.6170787)",University of North Carolina Asheville,
"POINT (-79.0469134 35.9049122)",University of North Carolina at Chapel Hill,
"POINT (-80.735164 35.30709289999999)",University of North Carolina at Charlotte,
"POINT (-97.0768014 47.922891)",University of North Dakota,
"POINT (-81.50723140000001 30.2661204)",University of North Florida,
"POINT (-97.1525862 33.207488)",University of North Texas,
"POINT (-104.6944603 40.4062697)",University of Northern Colorado,
"POINT (-92.46464689999999 42.5121517)",University of Northern Iowa,
"POINT (-86.2355439 41.7050504)",University of Notre Dame,
"POINT (-97.4448963 35.1987162)",The University of Oklahoma,
"POINT (-123.0726055 44.0448302)",University of Oregon,
"POINT (-75.1932137 39.9522188)",University of Pennsylvania,
"POINT (-79.9605375 40.44402789999999)",University of Pittsburgh,
"POINT (-122.7275712 45.5732046)",University of Portland,
"POINT (-71.53067879999999 41.4862328)",University of Rhode Island,
"POINT (-77.5397192 37.5758243)",University of Richmond,
"POINT (-117.1888625 32.7721681)",University of San Diego,
"POINT (-122.4507187 37.7765643)",University of San Francisco,
"POINT (-88.184236 30.6959406)",University of South Alabama,
"POINT (-81.0299186 33.9937575)",University of South Carolina,
"POINT (-81.9711555 34.9996102)",University of South Carolina Upstate,
"POINT (-96.92533809999999 42.7883015)",University of South Dakota,
"POINT (-82.41385389999999 28.0587031)",University of South Florida,
"POINT (-118.285117 34.0223519)",University of Southern California,
"POINT (-87.6727294 37.9634036)",University of Southern Indiana,
"POINT (-89.33345349999999 31.3298668)",The University of Southern Mississippi,
"POINT (-93.1897082 44.943096)",University of St. Thomas,
"POINT (-83.92945639999999 35.9544013)",University of Tennessee,
"POINT (-85.2953072 35.0458509)",The University of Tennessee at Chattanooga,
"POINT (-88.86433319999999 36.3429724)",University of Tennessee at Martin,
"POINT (-97.11519709999999 32.7292117)",The University of Texas at Arlington,
"POINT (-97.7340567 30.2849185)",The University of Texas at Austin,
"POINT (-106.5047208 31.7731979)",The University of Texas at El Paso,
"POINT (-98.17401579999999 26.30819829999999)",The University of Texas Rio Grande Valley,
"POINT (-98.61987789999999 29.5830733)",The University of Texas at San Antonio,
"POINT (-98.4676824 29.4675393)",University of the Incarnate Word,
"POINT (-121.3128577 37.97988689999999)",University of the Pacific,
"POINT (-83.6142374 41.6578804)",The University of Toledo,
"POINT (-95.94607529999999 36.1520526)",The University of Tulsa,
"POINT (-111.8421021 40.7649368)",The University of Utah,
"POINT (-73.1964637 44.4778528)",University of Vermont,
"POINT (-78.5079772 38.0335529)",University of Virginia,
"POINT (-122.3074579 47.65464069999999)",University of Washington,
"POINT (-89.4124875 43.07659200000001)",University of Wisconsin-Madison,
"POINT (-87.9210482 44.5313196)",University of Wisconsin-Green Bay,
"POINT (-87.8819686 43.07826299999999)",University of Wisconsin-Milwaukee,
"POINT (-105.5665744 41.3148754)",University of Wyoming,
"POINT (-111.8097425 41.745161)",Utah State University,
"POINT (-113.56541 37.1028746)",Utah Tech University,
"POINT (-111.7153739 40.2787626)",Utah Valley University,
"POINT (-87.04388929999999 41.4639394)",Valparaiso University,
"POINT (-86.8026551 36.14470339999999)",Vanderbilt University,
"POINT (-75.3425785 40.0368926)",Villanova University,
"POINT (-77.4527359 37.5526695)",Virginia Commonwealth University,
"POINT (-79.4351978 37.7909313)",Virginia Military Institute,
"POINT (-74.09438229999999 40.6149557)",Wagner College,
"POINT (-80.2792887 36.1354887)",Wake Forest University,
"POINT (-117.1542121 46.7319225)",Washington State University,
"POINT (-111.9440252 41.1913021)",Weber State University,
